name,rating,genres,release_date,cover_url
Oxide: Survival Island,100.0,"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Survival', 'Stealth', 'Sandbox', 'Open world', 'Multiplayer', 'Co-operative', 'Massively Multiplayer Online (MMO)']",2025-04-18,//images.igdb.com/igdb/image/upload/t_cover_big/cobc49.jpg
Resonite,100.0,"['Indie', 'Business', 'Sandbox', 'Educational', 'Single player', 'Multiplayer', 'Co-operative']",2023-10-06,//images.igdb.com/igdb/image/upload/t_cover_big/co75ut.jpg
Bubsy 3D: Bubsy Visits the James Turrell Retrospective,99.73,"['Platform', 'Horror', 'Comedy']",2013-10-04,//images.igdb.com/igdb/image/upload/t_cover_big/co2htw.jpg
Grand Theft Auto V: Story Mode,99.69,"['Shooter', 'Arcade', 'Action', 'Open world', 'Single player']",2022-03-15,//images.igdb.com/igdb/image/upload/t_cover_big/co66n7.jpg
Flimbo's Quest,99.69,"['Platform', 'Fantasy', 'Single player']",1990-12-31,//images.igdb.com/igdb/image/upload/t_cover_big/co857b.jpg
Grand Theft Auto V,99.69,"['Shooter', 'Racing', 'Adventure', 'Action', 'Comedy', 'Open world', 'Single player', 'Multiplayer', 'Co-operative']",2022-04-12,//images.igdb.com/igdb/image/upload/t_cover_big/co66nd.jpg
Mass Effect: Genesis 2,99.67,"['Visual Novel', 'Action', 'Science fiction', 'Drama', 'Single player']",2013-04-02,//images.igdb.com/igdb/image/upload/t_cover_big/co5rwo.jpg
Metal Gear Solid: The Legacy Collection,99.55,"['Shooter', 'Tactical', 'Adventure', 'Action', 'Stealth', 'Single player']",2013-07-09,//images.igdb.com/igdb/image/upload/t_cover_big/co45jf.jpg
Outer Wilds: Archaeologist Edition,99.55,"['Puzzle', 'Simulator', 'Adventure', 'Indie', 'Action', 'Science fiction', 'Drama', 'Open world', 'Mystery', 'Single player']",2021-09-28,//images.igdb.com/igdb/image/upload/t_cover_big/co3yjh.jpg
Wizardry: Bane of the Cosmic Forge,99.54,"['Role-playing (RPG)', 'Adventure', 'Fantasy', 'Single player']",1990-05-21,//images.igdb.com/igdb/image/upload/t_cover_big/co285x.jpg
The Legend of Zelda: Breath of the Wild - Nintendo Switch 2 Edition,99.53,"['Puzzle', 'Adventure', 'Action', 'Fantasy', 'Sandbox', 'Open world', 'Single player']",2025-06-05,//images.igdb.com/igdb/image/upload/t_cover_big/cob9oy.jpg
Deluxe Ski Jump 2,99.48,"['Sport', 'Indie', 'Arcade', 'Single player', 'Multiplayer']",2000-08-31,//images.igdb.com/igdb/image/upload/t_cover_big/co9qtx.jpg
SIGame,99.47,"['Quiz/Trivia', 'Indie', 'Educational', 'Party', 'Single player', 'Multiplayer']",2002-12-01,//images.igdb.com/igdb/image/upload/t_cover_big/co7q68.jpg
Golden Axe Warrior,99.44,"['Role-playing (RPG)', 'Action']",1991-07-01,//images.igdb.com/igdb/image/upload/t_cover_big/co2b8f.jpg
Dr. Robotnik's Ring Racers,99.43,"['Racing', 'Action', 'Single player', 'Multiplayer', 'Split screen']",2024-04-24,//images.igdb.com/igdb/image/upload/t_cover_big/co85ae.jpg
MLB Power Pros 2008,99.42,"['Simulator', 'Sport', 'Single player', 'Multiplayer']",2008-07-29,//images.igdb.com/igdb/image/upload/t_cover_big/co4hkv.jpg
Lizards Must Die,99.39,"[""Hack and slash/Beat 'em up"", 'Indie', 'Action', 'Fantasy', 'Science fiction', 'Comedy', 'Single player', 'Multiplayer', 'Co-operative']",2023-09-27,//images.igdb.com/igdb/image/upload/t_cover_big/co7888.jpg
Batman: Arkham Collection,99.36,"[""Hack and slash/Beat 'em up"", 'Adventure', 'Action', 'Thriller', 'Stealth', 'Drama', 'Open world', 'Single player']",2018-11-27,//images.igdb.com/igdb/image/upload/t_cover_big/co8wgm.jpg
Baldur's Gate 3: Digital Deluxe Edition,99.33,"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure', 'Action', 'Fantasy', 'Single player', 'Multiplayer', 'Co-operative', 'Split screen']",2023-08-03,//images.igdb.com/igdb/image/upload/t_cover_big/co9bc5.jpg
Grand Theft Auto V: Special Edition,99.31,"['Shooter', 'Racing', 'Sport', 'Action', 'Comedy', 'Open world', 'Single player']",2013-09-17,//images.igdb.com/igdb/image/upload/t_cover_big/co2nbc.jpg
Fuga: Melodies of Steel 2,99.25,"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Warfare', 'Single player']",2023-05-11,//images.igdb.com/igdb/image/upload/t_cover_big/co51x6.jpg
Undertale Yellow,99.22,"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure', 'Indie', 'Fantasy', 'Comedy', 'Drama', 'Single player']",2023-12-09,//images.igdb.com/igdb/image/upload/t_cover_big/co2el1.jpg
Scaler,99.21,"['Platform', 'Action', 'Fantasy', 'Science fiction', 'Single player']",2004-10-01,//images.igdb.com/igdb/image/upload/t_cover_big/co4bvj.jpg
Hrot,99.07,"['Shooter', 'Indie', 'Action', 'Horror', 'Single player']",2023-05-16,//images.igdb.com/igdb/image/upload/t_cover_big/co2omv.jpg
Angband,99.07,"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Fantasy', 'Single player']",,//images.igdb.com/igdb/image/upload/t_cover_big/co5ute.jpg
Terraria: Calamity Mod,99.04,"['Platform', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie', 'Action', 'Science fiction', 'Horror', 'Survival', 'Sandbox', 'Open world', 'Single player', 'Multiplayer', 'Co-operative']",2016-06-01,//images.igdb.com/igdb/image/upload/t_cover_big/co4x3n.jpg
Anstoss 3,98.98,"['Simulator', 'Sport', 'Business', 'Single player', 'Multiplayer']",2000-06-01,//images.igdb.com/igdb/image/upload/t_cover_big/co7ky3.jpg
Micro Machines,98.87,"['Racing', 'Single player']",1993-07-01,//images.igdb.com/igdb/image/upload/t_cover_big/co6psu.jpg
Chrono Trigger,98.87,"['Role-playing (RPG)', 'Action', 'Fantasy', 'Science fiction', 'Single player']",1999-11-02,//images.igdb.com/igdb/image/upload/t_cover_big/co7mnm.jpg
Pixadom,98.82,"['Platform', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Fantasy', 'Multiplayer', 'Massively Multiplayer Online (MMO)']",2024-08-20,//images.igdb.com/igdb/image/upload/t_cover_big/co902g.jpg
San Andreas Multiplayer,98.77,"['Shooter', 'Racing', 'Multiplayer', 'Co-operative']",2006-05-09,//images.igdb.com/igdb/image/upload/t_cover_big/co9puv.jpg
Adastra,98.73,"['Visual Novel', 'Science fiction', 'Thriller', 'Drama', 'Erotic', 'Romance', 'Single player']",2020-06-12,//images.igdb.com/igdb/image/upload/t_cover_big/co2ata.jpg
Gwent: Iron Judgment,98.63,"['Strategy', 'Card & Board Game', 'Fantasy', 'Single player', 'Multiplayer']",2019-10-02,//images.igdb.com/igdb/image/upload/t_cover_big/co1r5n.jpg
Bloodborne: Complete Edition Bundle,98.61,"['Role-playing (RPG)', 'Adventure', 'Action', 'Fantasy', 'Horror', 'Single player', 'Multiplayer']",2015-11-05,//images.igdb.com/igdb/image/upload/t_cover_big/cob7sj.jpg
Kingdom Hearts II Final Mix+,98.6,"['Role-playing (RPG)', 'Adventure', 'Action', 'Fantasy', 'Single player']",2007-03-29,//images.igdb.com/igdb/image/upload/t_cover_big/co30ss.jpg
Ghosts of Tabor,98.57,"['Shooter', 'Tactical', 'Action', 'Multiplayer', 'Co-operative']",2024-02-08,//images.igdb.com/igdb/image/upload/t_cover_big/co6tq4.jpg
Goblin Sword,98.52,"['Platform', 'Role-playing (RPG)', 'Adventure', 'Action']",2014-09-11,//images.igdb.com/igdb/image/upload/t_cover_big/co1zdd.jpg
OneShot: World Machine Edition,98.48,"['Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Fantasy', 'Single player']",2022-09-22,//images.igdb.com/igdb/image/upload/t_cover_big/co6ldh.jpg
Pokémon Infinite Fusion,98.47,"['Role-playing (RPG)', 'Adventure', 'Indie', 'Action', 'Fantasy', 'Kids', 'Single player']",2015-04-22,//images.igdb.com/igdb/image/upload/t_cover_big/co7k5u.jpg
Bloodborne: The Old Hunters Edition,98.43,"['Role-playing (RPG)', 'Adventure', 'Action', 'Fantasy', 'Horror', 'Open world', 'Single player', 'Multiplayer']",2015-11-24,//images.igdb.com/igdb/image/upload/t_cover_big/co47rc.jpg
Gwent: Crimson Curse,98.39,"['Strategy', 'Card & Board Game', 'Fantasy', 'Single player', 'Multiplayer']",2019-03-28,//images.igdb.com/igdb/image/upload/t_cover_big/co1yw9.jpg
Castlevania Advance Collection,98.37,"['Platform', 'Role-playing (RPG)', 'Adventure', 'Action', 'Fantasy', 'Horror', 'Single player']",2021-09-23,//images.igdb.com/igdb/image/upload/t_cover_big/cob9xj.jpg
Alone in the Dark: The New Nightmare,98.37,"['Puzzle', 'Adventure', 'Action', 'Horror', 'Survival', 'Mystery', 'Single player']",2001-06-22,//images.igdb.com/igdb/image/upload/t_cover_big/co7ldv.jpg
The Elder Scrolls V: Skyrim - Anniversary Edition,98.3,"['Role-playing (RPG)', 'Adventure', 'Action', 'Fantasy', 'Open world', 'Single player']",2021-11-11,//images.igdb.com/igdb/image/upload/t_cover_big/coa9tq.jpg
Ena: Dream BBQ,98.27,"['Adventure', 'Indie', 'Comedy', 'Single player']",2025-03-27,//images.igdb.com/igdb/image/upload/t_cover_big/co62ei.jpg
Master Lemon: The Quest for Iceland,98.23,"['Adventure', 'Fantasy', 'Single player']",2025-11-04,//images.igdb.com/igdb/image/upload/t_cover_big/co97gq.jpg
Hiveswap: Act 1,98.18,"['Point-and-click', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Single player']",2017-09-14,//images.igdb.com/igdb/image/upload/t_cover_big/co1s8t.jpg
SOCOM: US Navy SEALs,98.12,"['Shooter', 'Simulator', 'Strategy', 'Tactical', 'Action', 'Warfare', 'Single player', 'Multiplayer']",2002-08-27,//images.igdb.com/igdb/image/upload/t_cover_big/co99ju.jpg
Batman: Arkham Knight - Premium Edition,98.04,"[""Hack and slash/Beat 'em up"", 'Adventure', 'Action', 'Thriller', 'Stealth', 'Drama', 'Open world', 'Single player']",2015-06-23,//images.igdb.com/igdb/image/upload/t_cover_big/co2fr0.jpg
ITGmania,98.0,"['Music', 'Arcade', 'Party', 'Single player', 'Multiplayer', 'Split screen']",2022-06-12,//images.igdb.com/igdb/image/upload/t_cover_big/co8wsz.jpg
The Witcher 3: Wild Hunt - Game of the Year Edition,97.97,"['Role-playing (RPG)', 'Adventure', 'Action', 'Fantasy', 'Historical', 'Open world', 'Single player']",2016-08-29,//images.igdb.com/igdb/image/upload/t_cover_big/co1wz4.jpg
Epiko Regal,97.82,"['Real Time Strategy (RTS)', 'Strategy', 'Tactical', 'Card & Board Game', 'Action', 'Fantasy', 'Multiplayer']",2024-08-15,//images.igdb.com/igdb/image/upload/t_cover_big/co8wq0.jpg
Umineko no Naku Koro ni Chiru,97.74,"['Adventure', 'Visual Novel', 'Fantasy', 'Horror', 'Thriller', 'Business', 'Drama', 'Romance', 'Single player']",2011-09-01,//images.igdb.com/igdb/image/upload/t_cover_big/co4szy.jpg
Streets of Rage Remake,97.57,"[""Hack and slash/Beat 'em up"", 'Indie', 'Action', 'Science fiction', 'Single player', 'Multiplayer', 'Co-operative']",2011-04-03,//images.igdb.com/igdb/image/upload/t_cover_big/co2srh.jpg
Star Realms,97.5,"['Strategy', 'Turn-based strategy (TBS)', 'Card & Board Game', 'Science fiction', 'Single player', 'Multiplayer']",2014-08-13,//images.igdb.com/igdb/image/upload/t_cover_big/co1xdw.jpg
Metal Gear Solid: Snake Eater 3D,97.44,"['Shooter', 'Tactical', 'Adventure', 'Action', 'Survival', 'Stealth', 'Single player']",2012-02-21,//images.igdb.com/igdb/image/upload/t_cover_big/co62i0.jpg
Voices of the Void,97.33,"['Simulator', 'Indie', 'Fantasy', 'Science fiction', 'Horror', 'Survival', 'Sandbox', 'Open world', 'Mystery', 'Single player']",,//images.igdb.com/igdb/image/upload/t_cover_big/co8uks.jpg
